1,2,20.1,200
1,3,22.4,250
1,4,15.6,300
1,5,17.9,350
1,6,21.5,400
1,7,28.3,200
2,3,31.1,600
2,4,30.3,800
2,5,24.0,100
2,6,26.4,150
2,7,25.7,125
3,4,27.8,175
3,5,29.1,285
3,6,22.9,390
3,7,22.3,400
4,5,30.0,320
4,6,21.8,250
4,7,19.5,220
5,6,20.0,560
5,7,35.4,246
6,7,16.6,476
7,8,24.6,213
8,9,25.0,467
8,10,27.0,784
8,11,29.0,351
8,12,23.0,432
9,10,21.5,542
9,11,26.0,245
9,12,28.6,846
10,11,26.8,235
10,12,24.4,234
10,13,24.0,166
11,12,26.0,363
12,13,22.2,432
13,14,21.0,357
13,15,31.0,875
13,16,33.6,685
13,17,20.1,476
13,18,25.1,468
14,15,30.1,252
14,16,22.4,236
14,17,24.4,467
14,18,26.4,578
15,16,28.4,585
15,17,30.4,547
15,18,32.4,243
16,17,25.6,234
16,18,27.6,632
17,18,29.6,735
7,15,31.6,753
